FinalID,OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,Consumer,ConKingdom,ConTemp,ConMassValueSI,ConTempK,ConMassG
MTD2099,Mass-Specific Photosynthetic Oxygen Production Rate,2.8424,milligram / (1 gram (body mass - dry) * 1 hour),Caulerpa serrulata,Plantae,15.0,3.78371867362221e-12,288.15,3.78371867362221e-09
MTD2099,Mass-Specific Photosynthetic Oxygen Production Rate,6.1066,milligram / (1 gram (body mass - dry) * 1 hour),Caulerpa serrulata,Plantae,20.0,3.78371867362221e-12,293.15,3.78371867362221e-09
MTD2099,Mass-Specific Photosynthetic Oxygen Production Rate,15.2256,milligram / (1 gram (body mass - dry) * 1 hour),Caulerpa serrulata,Plantae,25.0,3.78371867362221e-12,298.15,3.78371867362221e-09
MTD2099,Mass-Specific Photosynthetic Oxygen Production Rate,15.9726,milligram / (1 gram (body mass - dry) * 1 hour),Caulerpa serrulata,Plantae,30.0,3.78371867362221e-12,303.15,3.78371867362221e-09
MTD2099,Mass-Specific Photosynthetic Oxygen Production Rate,5.9673,milligram / (1 gram (body mass - dry) * 1 hour),Caulerpa serrulata,Plantae,35.0,3.78371867362221e-12,308.15,3.78371867362221e-09
MTD2099,Mass-Specific Photosynthetic Oxygen Production Rate,-3.6553,milligram / (1 gram (body mass - dry) * 1 hour),Caulerpa serrulata,Plantae,40.0,3.78371867362221e-12,313.15,3.78371867362221e-09
MTD2101,Surface Area-Specific Photosynthetic Oxygen Production Rate,-2.6454400000000002e-05,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,5.0,1.608e-05,278.15,0.016079999999999997
MTD2101,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.00024217799999999998,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,10.0,1.608e-05,283.15,0.016079999999999997
MTD2101,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000347433,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,15.0,1.608e-05,288.15,0.016079999999999997
MTD2101,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000562879,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,20.0,1.608e-05,293.15,0.016079999999999997
MTD2101,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.00061114,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,25.0,1.608e-05,298.15,0.016079999999999997
MTD2101,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.0007278019999999999,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,30.0,1.608e-05,303.15,0.016079999999999997
MTD2101,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.000635491,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,35.0,1.608e-05,308.15,0.016079999999999997
MTD2101,Surface Area-Specific Photosynthetic Oxygen Production Rate,-0.000145783,gram / (1 square meter * 1 second),Embothrium coccineum,Plantae,40.0,1.608e-05,313.15,0.016079999999999997
MTD2102,Surface Area-Specific Photosynthetic Oxygen Production Rate,-7.838180000000001e-05,gram / (1 square meter * 1 second),Gevuina avellana,Plantae,5.0,0.15,278.15,150.0
