"","Type.of.feeding.interaction","Pred.Mean","Pred.Median","Prey.Mean","Prey.Median","Size.Ratio.Mean","Size.Ratio.Median"
"1","insectivorous",5.57075,0.9585,0.111269125,0.0442,0.0199738141183862,0.046113719353156
"2","piscivorous",19181.42434702,2900,39.2207782482792,6.16,0.00204993263272309,0.00213867244222901
"3","planktivorous",2796.97195938687,0.0216,0.534151423090122,8.72e-07,0.00181342151278156,0.00213865681877652
"4","predacious",10431.6848345828,609,13.9816173491183,0.218,0.00166116715241674,0.00182969723161678
"5","predacious/piscivorous",764.634782608696,590,21.8908024844721,13.6,0.00228263906743835,0.00488348733009704
